price,cpu,ram,ssd,graphic_ram,screen_size,stock_status,hdd,company,links
39188820,Ryzen 7,32000.0,1000,4000,15.6,new,0,lenovo,https://torob.com/p/a70b7d5d-0609-4ff1-9568-6c53442c0723/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-gaming-3-r7-5800h-32gb%2B1tb-ssd-4gb-rtx3050-black-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/
14800000,Ryzen 5,16000.0,0,0,15.0,new,0,hp,https://torob.com/p/b03cc5cb-4242-4ef4-84e9-b78719c1e5ae/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-hp-%D9%85%D8%AF%D9%84-elitebook-745-g5/
6600000,Celeron,0.0,0,0,12.5,new,0,hp,https://torob.com/p/2ffd95b2-477b-436c-8aa2-734749e63a6d/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-125-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%85%D8%B3%DB%8C-%D9%82%D9%84%D9%85-%D8%AF%D8%A7%D8%B1-%D8%A7%DA%86-%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-hp-pro-x2-612g1/
24300000,Core i7,16000.0,256,2000,14.0,stock,0,lenovo,https://torob.com/p/e816f865-8aef-44e2-a5ca-494d86945f5b/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-lenovo-%D9%85%D8%AF%D9%84-thinkpad-p40-yoga-%D8%B5%D9%81%D8%AD%D9%87-%DB%8C-%D9%86%D9%85%D8%A7%DB%8C%D8%B4-%D9%84%D9%85%D8%B3%DB%8C-14-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-full-hd-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-intel-core-i7-%D8%B1%D9%85-16gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256-gb-ssd-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9-nvidia-quadro-m500m-2gb-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-a%2B%2B/
36000000,Core i7,16.0,256,5000,13.0,new,0,apple,https://torob.com/p/ea330b25-6409-4c2a-a5d2-cd2d78014fcf/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-macbook-pro-1989/
18700000,Core i5,8000.0,4000,4000,15.0,new,0,dell,https://torob.com/p/0e90de0b-3803-405d-9f66-539e74813a30/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-dell-latitude-5500/
8520000,Celeron,4000.0,256,0,15.6,new,0,lenovo,https://torob.com/p/58bbf1da-aa9b-407c-bdaa-e2166d63215e/lenovo-ideapad-3-celeron-n4020-4gb-256gb-ssd-intel/
34300000,Core i5,16000.0,512,4000,15.6,new,0,hp,https://torob.com/p/e0a66d43-277f-4aa5-afc0-9d74d0b65dcd/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-victus-16-16gb-ram-512gb-ssd-i5-4gb-vga/
16879000,Celeron,4000.0,256,0,14.0,new,0,asus,https://torob.com/p/07ea73e5-060f-4d27-a320-67e70a98c50b/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-tp1401ka-ec021-4gb-ram-256gb-ssd-n4500/
17212300,Ryzen 3,8000.0,512,0,15.6,new,0,hp,https://torob.com/p/4a206e99-0682-46fd-b90c-e42b9af8a058/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-hp-15s-eq1015ne-a/
45394000,Core i7,8000.0,512,2000,15.6,new,0,lenovo,https://torob.com/p/e241999d-0bc7-4a43-b79b-cfbcfacab0a2/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-15-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-lenovo-thinkpad-e15-g/
35612300,Core i5,16000.0,1000,4000,15.6,new,0,hp,https://torob.com/p/177152be-f7d6-499e-a7af-a8949aa381ee/hp-victus-16-d1007nia-core-i5-12500-16gb-1tssd-4gb-rtx1650/
78500000,Core i7,32000.0,1000,8000,15.0,stock,0,hp,https://torob.com/p/610c725c-3249-43a3-9908-00c348fafc81/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-hp-zbook-power-g9/
45000000,Core i7,32000.0,1000,8000,15.0,new,0,hp,https://torob.com/p/21ad69c7-c7f0-4e41-97e3-3a407a5376dc/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-%D8%B2%D8%AF%D8%A8%D9%88%DA%A9-15-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-hp-zbook-studio-g7/
